X,Y,Path_curvature,Xin,Yin,Xout,Yout,Inner BoundryD,Width
-319.3165848,-121.6950937,-0.000301297,-317.0969884,-127.7961703,-320.5158108,-118.3987423,6.492283377,10
-319.4387654,-121.7739969,-4.42304E-06,-317.2303246,-127.8446764,-320.6490144,-118.4472002,6.459904094,10
-319.5615358,-121.8528296,0.000262505,-317.3641754,-127.8933672,-320.782707,-118.4958334,6.42779025,10
-319.6850155,-121.9315667,0.000342203,-317.4981559,-127.9421143,-320.9172517,-118.5447857,6.396017238,10
-319.8090688,-122.0101693,0.000337508,-317.6328042,-127.9911083,-321.0521466,-118.5938695,6.364570585,10
-319.9337491,-122.0887786,0.000254509,-317.7676857,-128.0401994,-321.1877803,-118.6432344,6.33334361,10
-320.0589775,-122.1671709,0.000166617,-317.9033749,-128.0895867,-321.3236037,-118.6926705,6.302509983,10
-320.1848518,-122.2454141,7.83884E-05,-318.0394577,-128.1391228,-321.4600245,-118.7423296,6.272042598,10
-320.3112562,-122.3236035,-2.64855E-06,-318.1761767,-128.1888912,-321.5967875,-118.792114,6.241807791,10
-320.4382547,-122.4016796,-7.60644E-05,-318.3133875,-128.2388393,-321.7340365,-118.8420759,6.211883257,10
-320.5658383,-122.4795914,-9.16426E-05,-318.4511922,-128.2890007,-321.8716708,-118.8921753,6.182310599,10
-320.6940109,-122.5574356,-8.87053E-05,-318.5894303,-128.3393187,-322.0098431,-118.9424695,6.15300189,10
-320.8227434,-122.6351989,-6.46213E-05,-318.7282133,-128.389832,-322.1484363,-118.9929136,6.123957756,10
-320.9520858,-122.7128429,-4.04515E-05,-318.8674088,-128.4404946,-322.2875846,-119.043559,6.095233537,10
-321.0820121,-122.7903688,-1.61954E-05,-319.0070988,-128.4913359,-322.4271998,-119.0943731,6.066818819,10
-321.2125131,-122.8678324,5.19456E-06,-319.1472402,-128.5423412,-322.5673256,-119.1453728,6.038658972,10
-321.3435904,-122.9452093,2.48653E-05,-319.287855,-128.5935188,-322.7079372,-119.1965492,6.010777674,10
-321.4752656,-123.0224567,2.45295E-05,-319.4289187,-128.6448608,-322.8490599,-119.2479126,5.983223459,10
-321.6075138,-123.0996077,2.19334E-05,-319.5704827,-128.6963851,-322.9906407,-119.2994431,5.955956117,10
-321.7403217,-123.1767183,1.53341E-05,-319.7125136,-128.7480801,-323.1327124,-119.3511529,5.928918735,10
-321.8737084,-123.253716,8.71161E-06,-319.8550324,-128.799953,-323.27525,-119.4030326,5.902185814,10
-322.007691,-123.3305541,2.13862E-06,-319.9980305,-128.8520005,-323.4182595,-119.4550843,5.875806763,10
-322.1422165,-123.4073726,-3.37985E-06,-320.1415056,-128.9042217,-323.5617394,-119.5073073,5.849631958,10
-322.2772926,-123.4841441,-6.53307E-06,-320.285459,-128.9566169,-323.7056852,-119.5596997,5.823689521,10
-322.4129817,-123.5606947,-6.49023E-06,-320.4298834,-129.0091834,-323.850101,-119.612263,5.798164135,10
-322.5492215,-123.6371913,-5.08971E-06,-320.5747771,-129.0619205,-323.9949853,-119.6649967,5.77287775,10
-322.6860017,-123.713656,-3.34366E-06,-320.720137,-129.1148271,-324.1403372,-119.7179005,5.747805991,10
-322.8233611,-123.7899784,-1.59171E-06,-320.8659598,-129.1679022,-324.2861568,-119.7709744,5.723066015,10
-322.961284,-123.8661977,-1.408E-09,-321.0122473,-129.2211464,-324.4324407,-119.8242172,5.698615561,10
-323.0997479,-123.9423769,1.4678E-06,-321.1589987,-129.2745593,-324.5791901,-119.8776295,5.674387815,10
-323.2387628,-124.0184943,1.55858E-06,-321.3062103,-129.32814,-324.7264109,-119.9312134,5.650406735,10
-323.3783474,-124.0944999,1.44183E-06,-321.4538956,-129.3818929,-324.874094,-119.9849657,5.626725529,10
-323.5184921,-124.1704288,1.05272E-06,-321.6020505,-129.4358168,-325.0222473,-120.038889,5.603307937,10
-323.6591797,-124.2463344,6.62299E-07,-321.7506736,-129.4899112,-325.1708754,-120.0929852,5.580098019,10
-323.8004277,-124.3221724,2.82424E-07,-321.8997716,-129.5441785,-325.3199752,-120.1472531,5.557143286,10
-323.9422547,-124.3978974,-5.4134E-08,-322.0493462,-129.5986192,-325.4695486,-120.2016934,5.534492761,10
-324.0846365,-124.4735824,-2.16291E-07,-322.1993976,-129.6532335,-325.6195992,-120.2563073,5.512069586,10
-324.2275669,-124.5492504,-2.73512E-07,-322.3499244,-129.7080208,-325.7701316,-120.3110968,5.489850072,10
-324.3710652,-124.6248469,-2.53866E-07,-322.5009385,-129.7629854,-325.9211355,-120.3660576,5.467891822,10
-324.515134,-124.7003695,-2.34149E-07,-322.6524211,-129.8181207,-326.0726287,-120.4211967,5.446198384,10
-324.6597519,-124.7758684,-2.14362E-07,-322.8043913,-129.8734333,-326.2245907,-120.4765063,5.424714844,10
-324.8049184,-124.851347,-1.87617E-07,-322.9568337,-129.9289178,-326.3770353,-120.5319916,5.403438026,10
-324.9506561,-124.9267394,-1.45612E-07,-323.1097551,-129.9845766,-326.5299545,-120.5876496,5.382437504,10
-325.0969559,-125.0020704,-8.402E-08,-323.2631501,-130.0404078,-326.6833531,-120.6434822,5.361687053,10
-325.2437937,-125.0774044,-1.2766E-08,-323.4170237,-130.0964132,-326.8372255,-120.6994872,5.34111772,10
-325.391179,-125.1527129,5.9722E-08,-323.5713756,-130.1525926,-326.9915704,-120.755664,5.32075951,10
